47	47	67	22	75	12	36	0	32	0	41	12	11	12	0	6	17	0	14	12	5	1	4	3	0	0	5	0	11	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
107	129	94	16	84	9	34	16	45	0	28	11	2	0	2	9	4	0	5	1	8	0	0	1	0	0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	14	8	0	7	0	3	2	0	0	3	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
73	111	66	10	47	3	8	13	30	0	14	1	3	1	1	4	10	0	11	2	12	2	0	0	0	0	3	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
74	136	68	15	87	11	31	16	27	0	18	5	3	2	0	3	9	0	3	0	6	3	0	2	0	0	0	0	5	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
6	3	9	0	26	5	7	16	6	0	2	3	0	2	0	2	4	0	1	9	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
68	92	60	7	63	1	14	20	9	0	7	0	1	0	0	0	0	0	6	1	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	3	5	0	18	7	2	12	4	0	4	0	5	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	17	6	1	4	1	3	3	1	0	5	0	2	0	0	6	2	0	6	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	1	0	0	0	0	1	1	0	5	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
