19	3	13	1	22	7	15	0	17	3	17	17	26	10	70	4	60	31	111	31	11	0	5	0	0
30	13	28	6	49	25	18	0	21	13	18	23	29	8	38	6	79	35	92	46	26	7	1	0	0
2	0	0	0	1	0	0	0	3	0	0	0	6	0	1	3	4	3	7	7	4	0	0	0	0
13	8	3	1	30	15	21	0	21	9	12	22	16	11	32	5	50	23	67	51	15	3	3	0	0
19	2	17	3	42	13	6	0	28	5	12	25	36	11	33	11	63	28	115	42	14	1	0	0	0
9	0	4	0	0	1	2	0	3	0	0	2	18	2	3	11	16	2	13	4	13	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
15	10	13	0	23	18	5	0	10	13	4	22	14	9	26	14	50	13	54	23	19	2	0	0	0
2	0	1	4	1	2	0	0	4	0	0	2	2	1	1	0	16	0	11	5	11	0	0	0	0
11	0	0	0	8	2	1	0	2	1	4	0	9	2	3	0	3	4	14	1	2	0	0	0	0
5	0	0	0	0	0	0	0	0	0	1	0	0	1	2	0	0	0	1	0	0	0	0	0	0
4	1	1	0	0	1	0	0	0	2	0	17	2	1	5	4	9	8	10	8	6	0	0	0	0
0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0	2	0	0	0	0	0	0	0	0
3	0	3	0	0	0	1	0	0	0	0	2	1	1	16	7	3	1	29	5	4	0	0	0	0
0	0	0	1	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
2	0	0	0	0	0	0	0	3	0	0	0	6	0	0	5	3	1	11	6	8	0	0	0	0
1	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
5	0	0	0	0	0	0	0	0	0	0	0	5	0	1	0	0	0	0	1	0	0	0	0	0
4	0	0	0	0	0	0	0	1	0	0	1	4	0	2	0	4	0	6	2	2	2	0	0	0
3	0	2	0	30	7	4	0	0	0	0	0	1	0	3	0	9	2	5	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	0	1	0	0	0	0	0	0	0	0
7	0	5	5	8	3	3	0	12	7	4	8	10	0	11	4	16	6	26	16	7	0	0	0	0
7	4	3	1	3	0	3	0	5	0	0	1	16	0	8	8	21	11	33	5	23	0	0	0	0
0	0	1	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0
1	0	0	0	4	2	0	0	0	0	1	1	2	0	0	0	2	2	6	1	2	1	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	2	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
3	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	5	0	1	0	0	0	0
1	0	0	0	1	0	0	0	0	0	0	0	3	0	0	1	3	0	2	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	1	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
