healthy	30.6748148148	19.3748148148	86.837037037	52.2888888889	3.60888888889	2.70962962963	6.29407407407	4.03333333333
thrips	30.7957142857	18.8485714286	86.5285714286	50.7571428571	2.48928571429	2.42285714286	6.625	3.95571428571
mites	31.275	18.41	86.7	44.3	2.25	1.37	7.6	4.2
sucking pest	30.9576271186	19.6661016949	87.1186440678	52.4661016949	2.85254237288	2.84576271186	6.23644067797	4.03220338983
borer	30.9264900662	19.5086092715	86.9205298013	52.8741721854	3.25099337748	2.65629139073	6.45298013245	4.07218543046
white fly	30.1354166667	18.15	86.4166666667	51.7291666667	2.80833333333	2.75833333333	7.02916666667	3.45833333333
nitrogen defi	30.5	22.0	79.0	58.0	8.8	0.0	11.1	3.6
aphid	30.7067307692	19.2826923077	87.8942307692	52.0673076923	2.02692307692	2.81346153846	6.33942307692	3.93173076923
helicoverpa	29.7782608696	18.0260869565	87.9130434783	49.9130434783	2.85217391304	2.39130434783	5.51739130435	3.18695652174
caterpillar	30.2972972973	20.1675675676	86.3513513514	54.9189189189	3.24864864865	3.88108108108	5.93513513514	3.55675675676
leafminer	32.4	22.2	82.2	54.6	6.8	3.34	5.9	4.68
spodoptera	29.8372093023	17.5813953488	87.1162790698	47.4418604651	2.04651162791	1.91162790698	6.64186046512	3.36744186047
cercospora	30.3	20.7	90.8	62.8	1.96	6.44	4.38	3.2
blast	29.7162162162	17.6891891892	85.8648648649	48.1621621622	3.48648648649	2.44054054054	6.55135135135	3.34054054054
grub	32.0	22.6666666667	88.6666666667	59.6666666667	3.06666666667	3.8	6.4	3.23333333333
heliothis	31.0	21.5	95.0	92.0	7.6	23.6	5.2	3.0
Boron defi	30.0678571429	16.2535714286	85.8214285714	45.0357142857	2.46071428571	1.69285714286	7.79642857143	3.75714285714
fungus	29.1666666667	21.8333333333	88.3333333333	75.3333333333	7.43333333333	13.5333333333	1.8	2.43333333333
rodent	31.0	21.5	95.0	92.0	7.6	23.6	5.2	3.0
case worm	31.0	21.5	95.0	92.0	7.6	23.6	5.2	3.0
tsv virus	30.0	22.0	82.0	60.0	7.6	0.0	9.2	3.2
blb	31.2	20.32	82.0	56.4	5.76	2.76	6.0	3.6
boll worm	31.1904761905	18.3523809524	86.380952381	53.1428571429	2.32857142857	1.15238095238	7.23333333333	4.1380952381
hispa	30.3666666667	21.9	91.8666666667	67.8	0.84	7.8	4.28	3.62666666667
algal	29.0	21.8	91.0	60.0	5.8	10.2	2.5	2.5
moth	31.5	22.5	92.0	64.0	2.1	0.8	5.7	3.0
zn deficiency	30.1666666667	20.1333333333	91.3333333333	57.6666666667	3.26666666667	3.66666666667	4.43333333333	2.9
bacterial	30.6630136986	19.2328767123	88.5890410959	53.3561643836	1.78767123288	2.69315068493	6.26575342466	3.76712328767
jassid	30.8090909091	17.8727272727	86.7575757576	48.6666666667	1.78333333333	1.73939393939	6.88939393939	3.75757575758
magnesium defi	32.1666666667	23.0	88.3333333333	60.6666666667	3.3	2.93333333333	4.23333333333	3.83333333333
die back	30.7380952381	19.580952381	86.0	50.380952381	1.8	4.14285714286	6.5	4.0380952381
square burning	28.3333333333	15.1	87.0	47.0	1.96666666667	4.53333333333	5.26666666667	3.2
chlorosis	27.0	12.2	89.0	29.0	3.7	0.0	9.1	3.0
mealy bug	29.6666666667	18.5777777778	88.0	54.3333333333	2.0	1.88888888889	6.15555555556	3.25555555556
leaf folder	30.4444444444	19.6333333333	84.0	53.7777777778	3.8	5.37777777778	5.85555555556	3.42222222222
choanephora	31.0	20.4333333333	91.3333333333	55.3333333333	2.53333333333	3.66666666667	5.73333333333	3.56666666667

