2016-01-01	28	16
2016-01-02	28	16
2016-01-03	28	16
2016-01-04	28	16
2016-01-05	28	16
2016-01-06	29	16
2016-01-07	29	16
2016-01-08	29	16
2016-01-09	29	16
2016-01-10	29	16
2016-01-11	29	16
2016-01-12	29	16
2016-01-13	29	16
2016-01-14	29	16
2016-01-15	29	16
2016-01-16	29	16
2016-01-17	29	16
2016-01-18	29	16
2016-01-19	29	16
2016-01-20	29	16
2016-01-21	29	17
2016-01-22	29	17
2016-01-23	30	17
2016-01-24	30	17
2016-01-25	30	17
2016-01-26	30	17
2016-01-27	30	17
2016-01-28	30	17
2016-01-29	30	17
2016-01-30	30	17
2016-01-31	30	17
2016-02-01	30	18
2016-02-02	30	18
2016-02-03	31	18
2016-02-04	31	18
2016-02-05	31	18
2016-02-06	31	18
2016-02-07	31	18
2016-02-08	31	18
2016-02-09	31	18
2016-02-10	31	19
2016-02-11	31	19
2016-02-12	31	19
2016-02-13	32	19
2016-02-14	32	19
2016-02-15	32	19
2016-02-16	32	19
2016-02-17	32	19
2016-02-18	32	19
2016-02-19	32	19
2016-02-20	32	20
2016-02-21	33	20
2016-02-22	33	20
2016-02-23	33	20
2016-02-24	33	20
2016-02-25	33	20
2016-02-26	33	20
2016-02-27	33	20
2016-02-28	33	20
2016-02-29	33	20
2016-03-01	34	20
2016-03-02	34	21
2016-03-03	34	21
2016-03-04	34	21
2016-03-05	34	21
2016-03-06	34	21
2016-03-07	34	21
2016-03-08	34	21
2016-03-09	34	21
2016-03-10	35	21
2016-03-11	35	21
2016-03-12	35	21
2016-03-13	35	22
2016-03-14	35	22
2016-03-15	35	22
2016-03-16	35	22
2016-03-17	35	22
2016-03-18	35	22
2016-03-19	35	22
2016-03-20	36	22
2016-03-21	36	22
2016-03-22	36	22
2016-03-23	36	23
2016-03-24	36	23
2016-03-25	36	23
2016-03-26	36	23
2016-03-27	36	23
2016-03-28	36	23
2016-03-29	36	23
2016-03-30	36	23
2016-03-31	37	23
2016-04-01	37	24
2016-04-02	37	24
2016-04-03	37	24
2016-04-04	37	24
2016-04-05	37	24
2016-04-06	37	24
2016-04-07	37	24
2016-04-08	37	24
2016-04-09	37	24
2016-04-10	37	25
2016-04-11	38	25
2016-04-12	38	25
2016-04-13	38	25
2016-04-14	38	25
2016-04-15	38	25
2016-04-16	38	25
2016-04-17	38	25
2016-04-18	38	25
2016-04-19	38	26
2016-04-20	38	26
2016-04-21	39	26
2016-04-22	39	26
2016-04-23	39	26
2016-04-24	39	26
2016-04-25	39	26
2016-04-26	39	26
2016-04-27	39	26
2016-04-28	39	26
2016-04-29	39	27
2016-04-30	39	27
2016-05-01	39	27
2016-05-02	39	27
2016-05-03	40	27
2016-05-04	40	27
2016-05-05	40	27
2016-05-06	40	27
2016-05-07	40	27
2016-05-08	40	27
2016-05-09	40	27
2016-05-10	40	27
2016-05-11	40	27
2016-05-12	40	27
2016-05-13	40	27
2016-05-14	39	27
2016-05-15	39	27
2016-05-16	39	27
2016-05-17	39	27
2016-05-18	39	27
2016-05-19	39	27
2016-05-20	39	27
2016-05-21	39	27
2016-05-22	39	27
2016-05-23	38	27
2016-05-24	38	27
