18.0	11.0	10.0	29.0	16.5	90.0	46.0	2.9	0.0	5.8	3.5	14.0
32.0	11.0	6.0	29.0	19.5	88.0	81.0	3.2	0.8	5.5	3.8	14.0
18.0	11.0	10.0	29.0	16.5	90.0	46.0	2.9	0.0	5.8	3.5	14.0
18.0	12.0	16.0	30.5	9.5	83.0	19.0	1.0	0.0	10.0	3.8	14.0
32.0	11.0	1.0	31.0	13.5	94.0	48.0	2.1	0.0	9.3	3.9	14.0
18.0	11.0	9.0	31.5	14.5	86.0	86.0	3.2	0.0	9.0	5.6	14.0
18.0	12.0	16.0	32.0	11.0	82.0	27.0	1.0	0.0	10.1	4.2	14.0
18.0	12.0	15.0	32.0	17.0	91.0	41.0	0.6	0.0	7.7	4.0	14.0
18.0	11.0	12.0	30.0	22.5	83.0	62.0	1.9	0.0	9.1	6.0	14.0
18.0	12.0	13.0	29.5	12.5	89.0	28.0	0.5	0.0	6.8	3.6	14.0
32.0	12.0	4.0	31.0	21.0	83.0	74.0	0.5	0.0	8.0	3.4	14.0
53.0	10.0	13.0	32.0	15.0	82.0	43.0	1.1	0.0	9.1	4.1	14.0
43.0	11.0	13.0	31.0	13.5	94.0	48.0	2.1	0.0	9.3	3.9	14.0
49.0	12.0	16.0	26.5	17.0	90.0	37.0	0.2	1.4	0.0	2.6	14.0
18.0	11.0	9.0	31.5	14.5	86.0	86.0	3.2	0.0	9.0	5.6	14.0
18.0	10.0	6.0	32.5	20.0	91.0	35.0	0.3	0.0	9.0	4.0	14.0
40.0	8.0	3.0	31.0	23.0	84.0	50.0	2.7	0.0	10.4	6.0	14.0
53.0	11.0	12.0	24.0	21.1	95.0	91.0	7.9	35.0	0.0	1.0	14.0
53.0	10.0	12.0	26.5	22.0	98.0	77.0	2.7	20.2	0.0	1.8	14.0
18.0	10.0	8.0	31.0	21.5	87.0	52.0	0.8	1.8	5.9	2.5	14.0
18.0	12.0	13.0	29.5	12.5	89.0	28.0	0.5	0.0	6.8	3.6	14.0
18.0	11.0	12.0	30.0	22.5	83.0	62.0	1.9	0.0	9.1	6.0	14.0
53.0	10.0	8.0	26.5	22.0	98.0	77.0	2.7	20.2	0.0	1.8	14.0
18.0	10.0	8.0	31.0	21.5	87.0	52.0	0.8	1.8	5.9	2.5	14.0
26.0	10.0	5.0	33.0	20.5	91.0	31.0	0.0	0.0	4.0	3.8	14.0
18.0	10.0	5.0	34.0	23.0	81.0	50.0	0.0	0.0	8.1	5.2	14.0
32.0	7.0	2.0	35.0	25.0	77.0	45.0	6.3	2.0	10.4	8.2	14.0
